積分区間は０～15です。
刻み幅hの値を入力してください
入力された値は以下の通りです。
積分区間は[0,15]
h=0.100000
n=150
x_0=0.000000
y_0=15.000000
n=1 	 x=0.100000 	 y=14.925187 	 真の値は15.000000です
n=2 	 x=0.200000 	 y=14.702980 	 真の値は14.925187です
n=3 	 x=0.300000 	 y=14.339962 	 真の値は14.702980です
n=4 	 x=0.400000 	 y=13.846745 	 真の値は14.339962です
n=5 	 x=0.500000 	 y=13.237453 	 真の値は13.846745です
n=6 	 x=0.600000 	 y=12.529052 	 真の値は13.237453です
n=7 	 x=0.700000 	 y=11.740567 	 真の値は12.529053です
n=8 	 x=0.800000 	 y=10.892235 	 真の値は11.740567です
n=9 	 x=0.900000 	 y=10.004652 	 真の値は10.892235です
n=10 	 x=1.000000 	 y=9.097960 	 真の値は10.004651です
n=11 	 x=1.100000 	 y=8.191117 	 真の値は9.097959です
n=12 	 x=1.200000 	 y=7.301286 	 真の値は8.191115です
n=13 	 x=1.300000 	 y=6.443364 	 真の値は7.301282です
n=14 	 x=1.400000 	 y=5.629672 	 真の値は6.443359です
n=15 	 x=1.500000 	 y=4.869794 	 真の値は5.629665です
n=16 	 x=1.600000 	 y=4.170568 	 真の値は4.869785です
n=17 	 x=1.700000 	 y=3.536203 	 真の値は4.170558です
n=18 	 x=1.800000 	 y=2.968495 	 真の値は3.536189です
n=19 	 x=1.900000 	 y=2.467134 	 真の値は2.968479です
n=20 	 x=2.000000 	 y=2.030049 	 真の値は2.467115です
n=21 	 x=2.100000 	 y=1.653780 	 真の値は2.030028です
n=22 	 x=2.200000 	 y=1.333848 	 真の値は1.653757です
n=23 	 x=2.300000 	 y=1.065105 	 真の値は1.333824です
n=24 	 x=2.400000 	 y=0.842047 	 真の値は1.065080です
n=25 	 x=2.500000 	 y=0.659080 	 真の値は0.842022です
n=26 	 x=2.600000 	 y=0.510738 	 真の値は0.659054です
n=27 	 x=2.700000 	 y=0.391846 	 真の値は0.510712です
n=28 	 x=2.799999 	 y=0.297640 	 真の値は0.391822です
n=29 	 x=2.899999 	 y=0.223834 	 真の値は0.297617です
n=30 	 x=2.999999 	 y=0.166656 	 真の値は0.223812です
n=31 	 x=3.099999 	 y=0.122849 	 真の値は0.166635です
n=32 	 x=3.199999 	 y=0.089657 	 真の値は0.122831です
n=33 	 x=3.299999 	 y=0.064782 	 真の値は0.089641です
n=34 	 x=3.399999 	 y=0.046343 	 真の値は0.064768です
n=35 	 x=3.499999 	 y=0.032823 	 真の値は0.046331です
n=36 	 x=3.599999 	 y=0.023016 	 真の値は0.032813です
n=37 	 x=3.699999 	 y=0.015979 	 真の値は0.023007です
n=38 	 x=3.799999 	 y=0.010983 	 真の値は0.015972です
n=39 	 x=3.899998 	 y=0.007474 	 真の値は0.010977です
n=40 	 x=3.999998 	 y=0.005036 	 真の値は0.007469です
n=41 	 x=4.099998 	 y=0.003359 	 真の値は0.005032です
n=42 	 x=4.199998 	 y=0.002219 	 真の値は0.003356です
n=43 	 x=4.299998 	 y=0.001451 	 真の値は0.002216です
n=44 	 x=4.399998 	 y=0.000939 	 真の値は0.001449です
n=45 	 x=4.499998 	 y=0.000602 	 真の値は0.000938です
n=46 	 x=4.599998 	 y=0.000382 	 真の値は0.000601です
n=47 	 x=4.699998 	 y=0.000240 	 真の値は0.000381です
n=48 	 x=4.799998 	 y=0.000149 	 真の値は0.000240です
n=49 	 x=4.899998 	 y=0.000092 	 真の値は0.000149です
n=50 	 x=4.999998 	 y=0.000056 	 真の値は0.000092です
n=51 	 x=5.099998 	 y=0.000034 	 真の値は0.000056です
n=52 	 x=5.199997 	 y=0.000020 	 真の値は0.000034です
n=53 	 x=5.299997 	 y=0.000012 	 真の値は0.000020です
n=54 	 x=5.399997 	 y=0.000007 	 真の値は0.000012です
n=55 	 x=5.499997 	 y=0.000004 	 真の値は0.000007です
n=56 	 x=5.599997 	 y=0.000002 	 真の値は0.000004です
n=57 	 x=5.699997 	 y=0.000001 	 真の値は0.000002です
n=58 	 x=5.799997 	 y=0.000001 	 真の値は0.000001です
n=59 	 x=5.899997 	 y=0.000000 	 真の値は0.000001です
n=60 	 x=5.999997 	 y=0.000000 	 真の値は0.000000です
n=61 	 x=6.099997 	 y=0.000000 	 真の値は0.000000です
n=62 	 x=6.199996 	 y=0.000000 	 真の値は0.000000です
n=63 	 x=6.299996 	 y=0.000000 	 真の値は0.000000です
n=64 	 x=6.399996 	 y=0.000000 	 真の値は0.000000です
n=65 	 x=6.499996 	 y=0.000000 	 真の値は0.000000です
n=66 	 x=6.599996 	 y=0.000000 	 真の値は0.000000です
n=67 	 x=6.699996 	 y=0.000000 	 真の値は0.000000です
n=68 	 x=6.799996 	 y=0.000000 	 真の値は0.000000です
n=69 	 x=6.899996 	 y=0.000000 	 真の値は0.000000です
n=70 	 x=6.999996 	 y=0.000000 	 真の値は0.000000です
n=71 	 x=7.099996 	 y=0.000000 	 真の値は0.000000です
n=72 	 x=7.199996 	 y=0.000000 	 真の値は0.000000です
n=73 	 x=7.299995 	 y=0.000000 	 真の値は0.000000です
n=74 	 x=7.399995 	 y=0.000000 	 真の値は0.000000です
n=75 	 x=7.499995 	 y=0.000000 	 真の値は0.000000です
n=76 	 x=7.599995 	 y=0.000000 	 真の値は0.000000です
n=77 	 x=7.699995 	 y=0.000000 	 真の値は0.000000です
n=78 	 x=7.799995 	 y=0.000000 	 真の値は0.000000です
n=79 	 x=7.899995 	 y=0.000000 	 真の値は0.000000です
n=80 	 x=7.999995 	 y=0.000000 	 真の値は0.000000です
n=81 	 x=8.099995 	 y=0.000000 	 真の値は0.000000です
n=82 	 x=8.199995 	 y=0.000000 	 真の値は0.000000です
n=83 	 x=8.299995 	 y=0.000000 	 真の値は0.000000です
n=84 	 x=8.399996 	 y=0.000000 	 真の値は0.000000です
n=85 	 x=8.499996 	 y=0.000000 	 真の値は0.000000です
n=86 	 x=8.599997 	 y=0.000000 	 真の値は0.000000です
n=87 	 x=8.699997 	 y=0.000000 	 真の値は0.000000です
n=88 	 x=8.799997 	 y=0.000000 	 真の値は0.000000です
n=89 	 x=8.899998 	 y=0.000000 	 真の値は0.000000です
n=90 	 x=8.999998 	 y=0.000000 	 真の値は0.000000です
n=91 	 x=9.099998 	 y=0.000000 	 真の値は0.000000です
n=92 	 x=9.199999 	 y=0.000000 	 真の値は0.000000です
n=93 	 x=9.299999 	 y=0.000000 	 真の値は0.000000です
n=94 	 x=9.400000 	 y=0.000000 	 真の値は0.000000です
n=95 	 x=9.500000 	 y=0.000000 	 真の値は0.000000です
n=96 	 x=9.600000 	 y=0.000000 	 真の値は0.000000です
n=97 	 x=9.700001 	 y=0.000000 	 真の値は0.000000です
n=98 	 x=9.800001 	 y=0.000000 	 真の値は0.000000です
n=99 	 x=9.900002 	 y=0.000000 	 真の値は0.000000です
n=100 	 x=10.000002 	 y=0.000000 	 真の値は0.000000です
n=101 	 x=10.100002 	 y=0.000000 	 真の値は0.000000です
n=102 	 x=10.200003 	 y=0.000000 	 真の値は0.000000です
n=103 	 x=10.300003 	 y=0.000000 	 真の値は0.000000です
n=104 	 x=10.400003 	 y=0.000000 	 真の値は0.000000です
n=105 	 x=10.500004 	 y=0.000000 	 真の値は0.000000です
n=106 	 x=10.600004 	 y=0.000000 	 真の値は0.000000です
n=107 	 x=10.700005 	 y=0.000000 	 真の値は0.000000です
n=108 	 x=10.800005 	 y=0.000000 	 真の値は0.000000です
n=109 	 x=10.900005 	 y=0.000000 	 真の値は0.000000です
n=110 	 x=11.000006 	 y=0.000000 	 真の値は0.000000です
n=111 	 x=11.100006 	 y=0.000000 	 真の値は0.000000です
n=112 	 x=11.200006 	 y=0.000000 	 真の値は0.000000です
n=113 	 x=11.300007 	 y=0.000000 	 真の値は0.000000です
n=114 	 x=11.400007 	 y=0.000000 	 真の値は0.000000です
n=115 	 x=11.500008 	 y=0.000000 	 真の値は0.000000です
n=116 	 x=11.600008 	 y=0.000000 	 真の値は0.000000です
n=117 	 x=11.700008 	 y=0.000000 	 真の値は0.000000です
n=118 	 x=11.800009 	 y=0.000000 	 真の値は0.000000です
n=119 	 x=11.900009 	 y=0.000000 	 真の値は0.000000です
n=120 	 x=12.000010 	 y=0.000000 	 真の値は0.000000です
n=121 	 x=12.100010 	 y=0.000000 	 真の値は0.000000です
n=122 	 x=12.200010 	 y=0.000000 	 真の値は0.000000です
n=123 	 x=12.300011 	 y=0.000000 	 真の値は0.000000です
n=124 	 x=12.400011 	 y=0.000000 	 真の値は0.000000です
n=125 	 x=12.500011 	 y=0.000000 	 真の値は0.000000です
n=126 	 x=12.600012 	 y=0.000000 	 真の値は0.000000です
n=127 	 x=12.700012 	 y=0.000000 	 真の値は0.000000です
