x,k=0.01,k=0.1,k=0.15,k=0.3
0,0,0,0,0
0.000500,0.004900,0.004899,0.004898,0.004896
0.001000,0.009800,0.009795,0.009793,0.009785
0.001500,0.014700,0.014689,0.014683,0.014667
0.002000,0.019600,0.019580,0.019571,0.019541
0.002500,0.024500,0.024469,0.024454,0.024408
0.003000,0.029400,0.029356,0.029334,0.029268
0.003500,0.034300,0.034240,0.034210,0.034121
0.004000,0.039200,0.039122,0.039083,0.038966
0.004500,0.044100,0.044001,0.043951,0.043804
0.005000,0.049000,0.048878,0.048817,0.048634
0.005500,0.053900,0.053752,0.053678,0.053458
0.006000,0.058800,0.058624,0.058536,0.058274
0.006500,0.063700,0.063493,0.063390,0.063083
0.007000,0.068600,0.068360,0.068241,0.067885
0.007500,0.073500,0.073225,0.073088,0.072679
0.008000,0.078400,0.078087,0.077931,0.077467
0.008500,0.083300,0.082947,0.082771,0.082247
0.009000,0.088200,0.087804,0.087607,0.087020
0.009500,0.093100,0.092659,0.092440,0.091786
0.010000,0.098000,0.097512,0.097269,0.096545
0.010500,0.102900,0.102362,0.102094,0.101296
0.011000,0.107800,0.107209,0.106916,0.106041
0.011500,0.112700,0.112054,0.111734,0.110778
0.012000,0.117600,0.116897,0.116548,0.115508
0.012500,0.122500,0.121738,0.121359,0.120232
0.013000,0.127400,0.126575,0.126166,0.124948
0.013500,0.132300,0.131411,0.130969,0.129657
0.014000,0.137200,0.136244,0.135769,0.134359
0.014500,0.142100,0.141075,0.140566,0.139054
0.015000,0.147000,0.145903,0.145359,0.143742
0.015500,0.151900,0.150729,0.150148,0.148422
0.016000,0.156800,0.155552,0.154933,0.153096
0.016500,0.161700,0.160373,0.159715,0.157763
0.017000,0.166600,0.165192,0.164494,0.162423
0.017500,0.171500,0.170008,0.169269,0.167076
0.018000,0.176400,0.174822,0.174040,0.171722
0.018500,0.181300,0.179633,0.178808,0.176361
0.019000,0.186200,0.184442,0.183572,0.180993
0.019500,0.191100,0.189249,0.188332,0.185618
0.020000,0.196000,0.194053,0.193089,0.190236
0.020500,0.200900,0.198855,0.197843,0.194847
0.021000,0.205800,0.203654,0.202592,0.199451
0.021500,0.210700,0.208451,0.207339,0.204049
0.022000,0.215600,0.213246,0.212081,0.208639
0.022500,0.220500,0.218038,0.216821,0.213223
0.023000,0.225400,0.222828,0.221556,0.217800
0.023500,0.230300,0.227615,0.226288,0.222369
0.024000,0.235200,0.232400,0.231017,0.226932
0.024500,0.240100,0.237183,0.235742,0.231489
0.025000,0.245000,0.241963,0.240463,0.236038
0.025500,0.249900,0.246741,0.245181,0.240580
0.026000,0.254800,0.251516,0.249895,0.245116
0.026500,0.259700,0.256289,0.254606,0.249645
0.027000,0.264600,0.261060,0.259313,0.254167
0.027500,0.269500,0.265828,0.264017,0.258683
0.028000,0.274400,0.270594,0.268717,0.263191
0.028500,0.279300,0.275358,0.273414,0.267693
0.029000,0.284200,0.280119,0.278107,0.272188
0.029500,0.289100,0.284877,0.282797,0.276677
0.030000,0.294000,0.289634,0.287483,0.281158
0.030500,0.298900,0.294388,0.292166,0.285633
0.031000,0.303800,0.299139,0.296845,0.290101
