x,y
0.000000,0.000001
0.692820,0.392161
1.385641,0.768640
2.078461,1.129440
2.771281,1.474560
3.464102,1.804000
4.156922,2.117760
4.849742,2.415840
5.542563,2.698240
6.235383,2.964960
6.928203,3.216000
7.621024,3.451360
8.313844,3.671040
9.006664,3.875040
9.699485,4.063360
10.392305,4.236000
11.085125,4.392960
11.777945,4.534240
12.470766,4.659840
13.163586,4.769760
13.856406,4.864000
14.549227,4.942560
15.242047,5.005440
15.934867,5.052640
16.627688,5.084161
17.320508,5.100001
18.013328,5.100161
18.706149,5.084641
19.398969,5.053441
20.091789,5.006561
20.784610,4.944001
21.477430,4.865762
22.170250,4.771842
22.863071,4.662242
23.555891,4.536962
24.248711,4.396002
24.941532,4.239362
25.634352,4.067043
26.327172,3.879043
27.019993,3.675363
27.712813,3.456003
28.405633,3.220964
29.098454,2.970244
29.791274,2.703844
30.484094,2.421764
31.176915,2.124005
31.869735,1.810565
32.562555,1.481445
33.255376,1.136646
33.948196,0.776166
